Scenario,CAGR_%,Max_DD_%,End_Equity,Stops
0.  Base,28.7,-24.7,4388.52,655
1.  L2/L3 boundary=-5,30.7,-24.7,5516.42,665
2.  L1_accel=90,31.6,-26.6,6076.89,704
3.  Momentum=1.5,29.1,-24.5,4601.79,656
4.  Bndry-5 + Mom1.4,31.0,-24.5,5670.81,666
5.  Bndry-5 + TH0.85,31.1,-24.7,5741.02,677
6.  Bndry-5+Mom1.4+TH0.85,31.2,-24.7,5854.78,678
7.  Bndry-5 + Trim7,31.0,-24.7,5673.26,665
8.  Bndry-5+Trim7+Mom1.4,31.2,-24.6,5832.04,666
9.  L1_90 + Bndry-5,33.6,-27.4,7638.72,714
10. L1_90+Bndry-5+Mom1.4,33.8,-27.4,7852.51,715
11. L1_90+Bndry-5+TH0.85,34.0,-27.6,8018.17,724
12. L1_100+Bndry-5,36.5,-29.8,10598.74,743
13. L1_100+Bndry-5+Mom1.5,37.0,-29.3,11113.79,744
14. MA30+Bndry-5,31.3,-26.9,5883.92,659
15. MA30+Bndry-5+Mom1.4,31.5,-25.7,6029.84,663
16. Conservative combo,31.5,-24.8,6020.5,678
17. Aggressive combo,34.4,-27.6,8408.49,725
18. Ultra aggressive,38.0,-29.5,12407.14,761
