Date,Open,High,Low,Close,Volume
2010-02-11,10052717.363341127,10150158.888672382,9533029.2282411,9616729.0,0
2010-02-12,9902809.422714174,9910304.926250981,9488058.22701074,9536779.0,0
2010-02-16,9329403.310607089,9485559.632758386,9169499.23672416,9198232.0,0
2010-02-17,9075803.755172413,9211972.042758621,9030830.74275862,9057065.0,0
2010-02-18,9045823.343273036,9088297.862492934,8813462.738128887,8839697.0,0
2010-02-19,8919646.257928118,8992102.768146582,8744751.233262861,8863430.0,0
2010-02-22,8767238.711864408,9017088.774898445,8760992.460288556,8918398.0,0
2010-02-23,8937137.871801777,9374375.536762726,8935888.62133046,9276934.0,0
2010-02-24,9117030.05059772,9158255.316652765,8877173.957186544,8987108.0,0
2010-02-25,9270688.405095184,9444334.232922733,8924646.0,8924646.0,0
2010-02-26,8994600.76002815,9080799.017311752,8845939.997466573,8875922.0,0
2010-03-01,8772236.601590106,8778482.853798587,8457425.490282686,8484909.0,0
2010-03-02,8407453.498516321,8471165.256083086,8267537.48189911,8419946.0,0
2010-03-03,8389963.99643917,8483657.757566765,8276282.232937686,8419946.0,0
2010-03-04,8373724.764122597,8489905.042067308,8285027.992788462,8315010.0,0
2010-03-05,8107636.326049364,8162603.351988682,7905257.730545512,7946483.0,0
2010-03-08,7894014.505943889,7909005.513076557,7832801.22681883,7881522.0,0
2010-03-09,7950227.513225806,7950227.513225806,7620425.491935484,7745350.5,1
2010-03-10,7676644.042720212,7690385.7977193855,7509244.481821187,7559214.5,0
2010-03-11,7605434.508010681,7645410.510680907,7480509.499666221,7485506.5,0
2010-03-12,7390566.213605215,7544224.030419522,7390566.213605215,7474266.0,0
2010-03-15,7525484.251869081,7669148.04485795,7468018.734673534,7519238.0,0
2010-03-16,7453027.268676944,7514240.533203457,7348090.243774353,7374324.5,0
2010-03-17,7349340.00306383,7370577.259574468,7216919.462468085,7339346.0,0
2010-03-18,7296870.004651163,7345590.759689922,7221914.996899225,7251897.0,0
2010-03-19,7383070.0,7446781.771573604,7168198.927241963,7383070.0,1
2010-03-22,7451777.807712396,7483009.064240947,7084498.23093663,7175693.5,1
2010-03-23,7138215.514920071,7224413.777175843,7008293.496447601,7033278.5,1
2010-03-24,7068257.991564148,7169447.262917399,7059513.239718805,7108234.0,1
2010-03-25,6955825.698448666,7175693.752135262,6870876.677706118,7166949.0,1
2010-03-26,7072007.228428621,7241905.299982462,6987058.192651701,7123226.5,1
2010-03-29,7025784.498223171,7082000.768212509,6968318.977789624,7030781.5,0
2010-03-30,6969567.001345774,7083248.7717566835,6902107.489233806,6962071.5,0
2010-03-31,7037026.749733759,7091993.761448349,6939585.228966986,7038276.0,1
2010-04-01,6973314.488664541,7211921.272493801,6835896.969181722,7053266.5,1
2010-04-05,7019538.3087431695,7060763.573770491,6814661.23406193,6858385.0,1
2010-04-06,6910852.015791406,6939584.770014689,6742203.241002571,6803416.5,1
2010-04-07,6852138.755023749,6954577.292473511,6758444.970770917,6838397.0,1
2010-04-08,6909603.017415216,7004546.034830431,6775933.242896426,6814660.0,0
2010-04-09,6789674.765508221,6842143.273355755,6674743.748318385,6685987.0,0
2010-04-12,6667250.001030928,6703478.265979381,6613532.228865979,6664751.5,0
2010-04-13,6687237.543705961,6723465.806132165,6551069.247000571,6559814.0,1
2010-04-14,6458623.520126283,6483608.524072613,6327452.24940805,6331200.0,1
2010-04-15,6331202.037155413,6331202.037155413,6230012.738613663,6253748.5,1
2010-04-16,6312461.717757553,6583549.030790086,6247500.702652982,6451128.5,2
2010-04-19,6538575.509255689,6709722.785672966,6426142.991901273,6478611.5,2
2010-04-20,6371175.996872556,6501098.017200938,6334947.741204065,6391164.0,1
2010-04-21,6252497.747307538,6374924.276625448,6211272.487435181,6263741.0,1
2010-04-22,6449879.841977309,6548570.623987034,6147561.243922205,6166300.0,2
2010-04-23,6172545.263330598,6228761.522559475,6072605.246923707,6091344.0,1
2010-04-26,6075104.978916276,6156306.258708495,6037627.465166022,6132570.5,1
2010-04-27,6196282.856046065,6562313.274760077,6121327.821497121,6508595.5,2
2010-04-28,6402407.235198,6649758.773260284,6402407.235198,6498599.5,3
2010-04-29,6408653.799918913,6408653.799918913,6128821.743158322,6162551.5,2
2010-04-30,6172546.377703349,6539826.0043062195,6142564.367368421,6527333.5,2
2010-05-03,6447381.571057365,6451129.3224065555,6158804.717169698,6250000.0,1
2010-05-04,6483609.878115836,6938337.044904692,6481111.377199413,6815910.5,3
2010-05-05,7004547.031741725,7139466.075691807,6783429.709712425,6907105.5,3
2010-05-06,7049518.676296783,9420595.487852922,5940184.530531845,7610432.0,5
2010-05-07,7782829.659528578,8626073.643506393,7494252.829456169,8108884.0,5
2010-05-10,7110733.051910599,7155706.064888248,6902108.241708724,6930841.0,4
2010-05-11,7106984.27652472,7158203.533922771,6647260.210122699,6923344.5,3
2010-05-12,6827152.292938931,6848389.546183206,6521085.996183205,6546071.0,2
2010-05-13,6623525.192230531,6885867.759255881,6469867.402972825,6849639.5,2
2010-05-14,7005794.0,7478010.5,7002046.25,7240653.0,3
2010-05-17,7188187.501043116,7634169.937239221,7091995.210883171,7185689.0,2
2010-05-18,6995800.93708166,7556714.26221553,6950827.931057564,7465519.0,2
2010-05-19,7547969.240562183,7891513.024268671,7374323.4735250855,7644161.5,4
2010-05-20,8067657.22108084,8539873.763287183,8033927.468066101,8391213.0,4
2010-05-21,8897159.304079482,8990853.062547043,8025182.725274725,8298768.5,5
2010-05-24,8237555.999545179,8315009.513644633,7952726.947695573,8240054.5,3
2010-05-25,8859683.400631864,9097040.964946592,8251298.48578306,8303767.0,5
2010-05-26,8163853.524254822,8602340.530683812,7810315.567504384,8549872.0,3
2010-05-27,7965219.836707819,8046421.105432099,7589195.5,7589195.5,3
2010-05-28,7569206.974139324,7920246.280911589,7537975.719088412,7729111.0,3
2010-06-01,7799069.956873527,7962721.753181461,7398060.593401413,7951478.5,2
2010-06-02,7801567.042110604,7960221.808219179,7356833.99695586,7386816.0,2
2010-06-03,7316858.781642259,7444282.308315899,7126972.741893305,7165699.5,3
2010-06-04,7615429.448669202,7963970.2649714835,7341843.646625475,7885267.5,5
2010-06-07,7760344.264564564,8338747.257882883,7709124.993018018,8320008.5,3
2010-06-08,8268790.695457263,8704779.206216378,8212574.411835027,8359986.0,5
2010-06-09,8207574.651433561,8648560.01702809,7968967.83888808,8583599.0,4
2010-06-10,8253797.911244019,8332500.691387559,7816560.243779904,7832800.5,4
2010-06-11,8073901.956019656,8081397.455282556,7600436.252579853,7626670.5,4
2010-06-14,7409302.719117647,7657903.501633987,7251897.198529411,7645411.0,2
2010-06-15,7510493.4065112965,7525484.411314713,6984558.987991461,7022036.5,3
2010-06-16,7063260.522053507,7100738.027476501,6820905.986984815,6910852.0,3
2010-06-17,6815909.997803003,7034528.8118820945,6795921.991944343,6823405.5,2
2010-06-18,6804666.995054039,6890865.273493314,6689735.957135007,6819658.0,1
2010-06-21,6578551.675236565,7120726.272094269,6548569.669880379,6997050.5,4
